name,brand,categories,primaryCategories,reviews.date,reviews.text,reviews.title,processed_text,sentiment_score
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2016-07-15 00:00:00+00:00,so my old kindle stopped working recently. not sure why but it would not connect to our new router. so i checked with best buy and saw they had kindle on sale for $60 which is a great deal for a color kindle tablet. i especially like that i can setup the reading mode which dims the tablet and removes the blue led light. so far i have read 5 books in the past 2 months on this kindle and it flawless.,great replacement for old black and white kindle,old kindle stopped working recently sure would connect new router checked best buy saw kindle sale great deal color kindle tablet especially like setup reading mode dims tablet remove blue led light far read book past month kindle flawless,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-01-23 00:00:00+00:00,my 4 year old love to watch movies and this is perfect for him!,my 4 year old loves it!,year old love watch movie perfect,1
"Fire HD 8 Tablet with Alexa, 8"" HD Display, 32 GB, Tangerine - with Special Offers",Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",Electronics,2017-03-10 00:00:00+00:00,we replaced and aging fire hdx. she noticed the wifi connection is improved and the screen is larger. she prefers this to my ipad air,my wife loves it,replaced aging fire hdx noticed wifi connection improved screen larger prefers ipad air,-1
"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",Amazon,"eBook Readers,Fire Tablets,Electronics Features,Tablets,Amazon Tablets,College Ipads & Tablets,Electronics,Electronics Deals,College Electronics,Featured Brands,All Tablets,Computers & Tablets,Back To College,Amazon Devices,Tablets & E-Readers","Office Supplies,Electronics",2017-01-30 00:00:00+00:00,"i love the 2 cameras, and the video capabilities. i have set up the picture albums and can even share on facebook and messenger. i like the side charger. much better than front.i love the size too.",great camera,love camera video capability set picture album even share facebook messenger like side charger much better love size,1
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-03-15 00:00:00+00:00,needed a new kindle. wasn't sure what one to choose. this one is great!,nice upgrade,needed new kindle sure one choose one great,1
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-02-02 00:00:00+00:00,i have really enjoyed my new echo plus.i enjoy music every morning with the news,echo plus,really enjoyed new echo enjoy music every morning news,0
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2016-06-18 00:00:00+00:00,this tablet is on the smaller side but works for me.,small tablet,tablet smaller side work,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-23 00:00:00+00:00,i bought this for my wife and absolutely loves it. alexa is so smart and helps my wife with everything. like a personal assistant,make lives easy,bought wife absolutely love alexa smart help wife everything like personal assistant,1
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-12-27 00:00:00+00:00,needs to be a stand alone device. i should have not required to use a tablet of cell phone to make it work. amazon needs to work on the technology on device.,needs to be a stand alone device,need stand alone device required use tablet cell phone make work amazon need work technology device,-1
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2017-12-05 00:00:00+00:00,"this is the only one you need ! it's like having the dot, echo and ihome all in one with a screen !",what a game changer !,one need like dot echo ihome one screen,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-28 00:00:00+00:00,this is a great tablet for the price. i have one that i purchased a few years ago and use it much more than my laptop. recently purchased two more for gifts.,great tablet,great tablet price one purchased year ago use much laptop recently purchased two gift,1
Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,Amazon,"Computers & Tablets,E-Readers & Accessories,eBook Readers,Kindle E-readers",Electronics,2015-08-07 00:00:00+00:00,"enjoy my summer reading and a regular tablet just will not do. initially disappointed by the small size, but i quickly learned to appreciate it. very portable and convenient. i wanted something easy on the eyes with a 3g connection so i did not have to be connected to wifi to download books. was a bit more then i wanted to pay but feel i will get good use out of it.",expensive treat,enjoy summer reading regular tablet initially disappointed small size quickly learned appreciate portable convenient wanted something easy eye connection connected wifi download book bit wanted pay feel get good use,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-02-14 00:00:00+00:00,i decided to buy this instead of a traditional kindle and i do not regret my decision at all!the only con (for those evaluating this as a tablet) is that amazon has their own app store. many apps from googleplay/appstore are simply not available.,best tablet for price,decided buy instead traditional kindle regret decision con evaluating tablet amazon app store many apps simply available,-1
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2016-08-05 00:00:00+00:00,i am using it for my 3 year old and she loves it..,great tablet,using year old love,1
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,"Amazon Echo,Home Theater & Audio,MP3 MP4 Player Accessories,Electronics,Portable Audio,Compact Radios Stereos,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Electronic Components,Home Automation,Mobile Bluetooth Speakers,Home, Garage & Office,Amazon Tap,Home,Mobile Speakers,TVs & Electronics,Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Electronics Features,Frys,Speakers,Mobile,Digital Device 3,Smart Home,Home Improvement,Electronics, Tech Toys, Movies, Music,Smart Home & Home Automation Devices,Smart Hubs,MP3 Player Accessories,Home Safety & Security,Voice Assistants,Amazon Home,Alarms & Sensors,Portable Audio & Electronics,Amazon Devices,Audio,Bluetooth Speakers,MP3 Accessories,All Bluetooth & Wireless Speakers",Electronics,2017-02-13 00:00:00+00:00,great speaker and echo substitute. this is great for on the go as a bluetooth speaker and when connected to the internet it works great using the alexa app.,great speaker,great speaker echo substitute great go bluetooth speaker connected internet work great using alexa app,1
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-01 00:00:00+00:00,"i bought this for my mom and she loves it. she said it is really easy to use and loves the lighting, it's easy for her to read.",easy to use,bought mom love said really easy use love lighting easy read,1
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-01-07 00:00:00+00:00,a bargain for the price especially for the coverage of the warranty. a gift for my 4 year old granddaughter. things can happen to it. she absolutely loves it and pretty easy to use!,great gift,bargain price especially coverage warranty gift year old granddaughter thing happen absolutely love pretty easy use,1
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-01-30 00:00:00+00:00,so far so good. i enjoy being able to communicate with friends and family using the drop in feature.,great smart device,far good enjoy able communicate friend family using drop feature,1
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-01-10 00:00:00+00:00,bought for 3 year old grandaughter. she loves it and now she won't need to steal moms tablet or phone.,easy for kids,bought year old grandaughter love wo need steal mom tablet phone,1
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-22 00:00:00+00:00,we the concept to learn and adapt to the ever changing word. this product should stand out.,"great innovation, that will enhance innovation.",concept learn adapt ever changing word product stand,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-12-03 00:00:00+00:00,no problems so far i'm enjoying it. suggestion : it should come with some outputs plugs to connect it to bigger speakers / sound system,works perfectly,problem far enjoying suggestion come output plug connect bigger speaker sound system,-1
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-03-03 00:00:00+00:00,i love my kindle! it's perfect for reading my favorite books!,great tablet for reading,love kindle perfect reading favorite book,1
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2017-01-09 00:00:00+00:00,got this as a gift for my boyfriend he loves that it is very convenient and easy to use.,nice,got gift boyfriend love convenient easy use,1
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-01-23 00:00:00+00:00,"easy to use, love the color and my daughter loves it. easy to set up very happy with my purchase.",great light wight,easy use love color daughter love easy set happy purchase,2
"Amazon - Kindle Voyage - 6"" - 4GB - Black",Amazon,"eBook Readers,Electronics Features,Walmart for Business,Tablets,See more Amazon Kindle Voyage (Wi-Fi),Electronics,Office Electronics,iPad & Tablets,Kindle E-readers,E-Readers & Accessories,All Tablets,See more Amazon Kindle Voyage 4GB, Wi-Fi  3G (Unlocked...,Computers & Tablets",Electronics,2016-03-11 00:00:00+00:00,"this readeri is compact and fits nicely in my bag. easy to use, controls for children are very effective. am glad i bought it.",great ereaderfor anyreader,readeri compact fit nicely bag easy use control child effective glad bought,0
"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",Amazon,"Office,eBook Readers,Electronics Features,Walmart for Business,Tablets,Electronics,Amazon Ereaders,Office Electronics,iPad & Tablets,Kindle E-readers,All Tablets,Amazon Book Reader,Computers & Tablets","Office Supplies,Electronics",2017-03-16 00:00:00+00:00,"got it as a gift for my dad, so far so good.didn't not realise the special offers are ads, spend more money to buy the one with out them.also hate the fact they removed the wwan connection, you now need wifi to connect to the store.",present for my dad,got gift dad far realise special offer ad spend money buy one hate fact removed wwan connection need wifi connect store,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-06-02 00:00:00+00:00,i purchased this kindle fire hd 8 was purchased for use by 5 and 8 yer old grandchildren. they basically use it to play amazon games that you download.,grand kids love it!,purchased kindle fire hd purchased use yer old grandchild basically use play amazon game download,0
"Kindle Oasis E-reader with Leather Charging Cover - Black, 6"" High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,"Kindle E-readers,Electronics Features,Computers & Tablets,E-Readers & Accessories,E-Readers,eBook Readers",Electronics,2017-07-19 00:00:00+00:00,i bought the kindle oasis for my wife as a 37th-anniversary gift. she enjoys reading and i thought that being able to adjust the text size would be very nice. she tried it for a few days and didn't care for it. she writes notes in the margins and wasn't happy with the way the kindle did its notes. for just reading i think it would be a very nice product.,i liked it,bought kindle oasis wife gift enjoys reading thought able adjust text size would nice tried day care writes note margin happy way kindle note reading think would nice product,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-30 00:00:00+00:00,"we bought one of these for our 2 year old a few months ago and we liked it so much we bought one as a christmas present for a 65 year old parent. it obviously isn't the highest quality tablet on the market, but it very responsive and gets the job done. and, you can't beat the price; just a great value.",good tablet,bought one year old month ago liked much bought one christmas present year old parent obviously highest quality tablet market responsive get job done ca beat price great value,1
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-01-17 00:00:00+00:00,easy to set up. we really enjoy getting real time local weather. it translates spanish very efficiently. we also enjoy the music we can easily select but would appreciate a higher quality sound. linking the echo to lighting is a snap. highly recommended!,love the echo plus,easy set really enjoy getting real time local weather translates spanish efficiently also enjoy music easily select would appreciate higher quality sound linking echo lighting snap highly recommended,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-03-31 00:00:00+00:00,this tablet is great. i loved the color and all the features it has. i will be buying more for my daughters. great purchase,great tablet,tablet great loved color feature buying daughter great purchase,2
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-02-24 00:00:00+00:00,"i'm new to tablets but this one is pretty easy to understand and use.there's a decent amounts of apps at start up, which can be good and bad.",beginner to tablets,new tablet one pretty easy understand decent amount apps start good bad,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-12-21 00:00:00+00:00,"she is alexa, better younger sister. love her, and some of the new skills great",love it,alexa better younger sister love new skill great,2
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-04-21 00:00:00+00:00,i've enjoyed using my fire hd8 tablet to play games.,great tablet! 1.5 gb of ram!!! fast!,enjoyed using fire tablet play game,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-18 00:00:00+00:00,"very easy to use and navigate. my 6 and 4 year old grandsons can use them with ease. some apps are limited as you do not have google play, but there is plenty of games and learning games available.",great for the grandkids,easy use navigate year old grandson use ease apps limited google play plenty game learning game available,-1
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-02-13 00:00:00+00:00,i bought my step mom an updated kindle. she reads the new kindle more than her old one.,user friendly,bought step mom updated kindle read new kindle old one,0
"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",Amazon,"Office,eBook Readers,Electronics Features,Walmart for Business,Tablets,Electronics,Amazon Ereaders,Office Electronics,iPad & Tablets,Kindle E-readers,All Tablets,Amazon Book Reader,Computers & Tablets","Office Supplies,Electronics",2016-09-26 00:00:00+00:00,"i've been using the original b&n nook ereader for several years now. i finally decided to upgrade. i wish i'd done it a lot sooner. the new kindle touchscreen ereader is phenomenal.the device is light and easy to carry, almost unbelievably so. it is fast and responsive and touch screen has 0 delay. i would recommend anybody in the market for this one buy one immediately. you won't regret it.",great upgrade,using original b n nook ereader several year finally decided upgrade wish done lot sooner new kindle touchscreen ereader device light easy carry almost unbelievably fast responsive touch screen delay would recommend anybody market one buy one immediately wo regret,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-08 00:00:00+00:00,exchanged the google google home for this model. fun for the kids. finding new uses for it every day. had a problem when best buy forgot to include the free light bulb.,fun product for all.ages,exchanged google google home model fun kid finding new us every day problem best buy forgot include free light bulb,-1
"Amazon - Kindle Voyage - 6"" - 4GB - Black",Amazon,"eBook Readers,Electronics Features,Walmart for Business,Tablets,See more Amazon Kindle Voyage (Wi-Fi),Electronics,Office Electronics,iPad & Tablets,Kindle E-readers,E-Readers & Accessories,All Tablets,See more Amazon Kindle Voyage 4GB, Wi-Fi  3G (Unlocked...,Computers & Tablets",Electronics,2017-07-29 00:00:00+00:00,love this kindle - the press side page turner is great.,my second one,love kindle press side page turner great,2
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-01-08 00:00:00+00:00,alexa is amazing and the phillips bulb works seamlessly with it.,great start to a smart home,alexa amazing phillips bulb work seamlessly,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-23 00:00:00+00:00,it has very limited use without adding on expensive apps or adding more wireless speakers. i am considering returning the merchandise,not sure it's worth the money,limited use without adding expensive apps adding wireless speaker considering returning merchandise,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2018-03-22 00:00:00+00:00,"information on weather, updates on music, events. fun questions answered while working in kitchen. good sound for a limited areagreat sales assistance at best buy","informative, fun",information weather update music event fun question answered working kitchen good sound limited areagreat sale assistance best buy,2
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2016-09-16 00:00:00+00:00,"the grandkids love this tablet, easy for them to use",kids tablet,grandkids love tablet easy use,1
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Tablets,Computers/Tablets & Networking,Other Computers & Networking,Computers & Tablets,All Tablets",Electronics,2017-02-24 00:00:00+00:00,"bought as gift for my granddaughter who is 10. she loves it. plays games, watches videos and listens to music.",great tablet for anyone,bought gift granddaughter love play game watch video listens music,1
